Q_13	CASE_03	MCQ	Oral Pathology	Based on the patient's history and clinical presentation, what is the most likely diagnosis for the brown gingival macules?		Melanotic Macule	Smoker's Melanosis	Amalgam Tattoo	Peutz-Jeghers Syndrome	Option_B	Why: Smoker's Melanosis presents as brown, diffuse, irregular macules typically on the anterior gingiva. It is caused by tobacco chemicals stimulating melanocytes to deposit melanin. The patient's 30-year smoking history strongly supports this.  Why not: Melanotic macules are usually solitary (like a freckle). Amalgam tattoos are blue/grey and focal (usually near restorations). Peutz-Jeghers would involve perioral freckling and intestinal polyps.	Smoker's Melanosis, Smoking, Pigmentation	
Q_14	CASE_03	MCQ	Oral Pathology	The "red dots" observed on the patient's palate in Nicotine Stomatitis represent which of the following?		Inflamed minor salivary duct openings	Petechiae caused by suction	Dysplastic erythroplakia	Candidiasis infection	Option_A	Why: Nicotine Stomatitis is characterized by a white, hyperkeratotic palate with red dots. These red dots are specifically inflamed openings of the minor salivary glands/ducts in response to heat.  Why not: Petechiae are hemorrhages. Erythroplakia is a premalignant red patch. Candidiasis wipes off.	Nicotine Stomatitis, Salivary Glands, Palate	
Q_15	CASE_03	MCQ	Pharmacology	If this patient also presented with "sloughing" of the buccal mucosa that peels off easily, which ingredient in their toothpaste should likely be avoided?		Sodium Fluoride	Triclosan	Sodium Lauryl Sulfate (SLS)	Potassium Nitrate	Option_C	Why: Sodium Lauryl Sulfate (SLS) is a surfactant associated with "Dentifrice-associated sloughing." Switching to an SLS-free toothpaste (e.g., Rembrandt, Tom's of Maine) often resolves the issue.  Why not: The other ingredients are active agents (cavity prevention, sensitivity) not typically associated with mucosal sloughing.	Sodium Lauryl Sulfate, Dentifrice, Sloughing	
Q_16		RAPID_FIRE	Oral Pathology	Peutz-Jeghers Syndrome is characterized by the triad of perioral freckles (melanotic macules), intestinal polyps, and predisposition to intestinal obstruction/cancer.		TRUE	FALSE			Option_A	Why: True. The mnemonic "PJs" (someone home sick in PJs) helps recall the intestinal distress (polyps) and spots (freckles) associated with this syndrome.  Why not: N/A	Peutz-Jeghers Syndrome, Syndrome, Genetics	
Q_17		RAPID_FIRE	Oral Pathology	An amalgam tattoo is a vascular lesion that will blanch upon diascopy (pressure test).		TRUE	FALSE			Option_B	Why: False. Amalgam tattoos are extravascular exogenous pigmentation (metal particles in tissue). They do not blanch. Vascular lesions like hemangiomas blanch (unless thrombosed).  Why not: N/A	Amalgam Tattoo, Diagnosis, Blanching	
Q_18		RAPID_FIRE	Oral Pathology	Hairy Tongue is caused by the elongation of fungiform papillae.		TRUE	FALSE			Option_B	Why: False. Hairy Tongue is caused by the elongation of filiform papillae (the hair-like ones), not fungiform (the mushroom-shaped ones).  Why not: N/A	Hairy Tongue, Anatomy, Papillae	
Q_19	CASE_04	MCQ	Oral Pathology	Based on the clinical presentation and history of placing a pill on the gum, what is the diagnosis?		Candidiasis (Thrush)	Aspirin Burn (Chemical Burn)	Linea Alba	Lichen Planus	Option_B	Why: Placing an aspirin tablet directly on the mucosa causes a chemical burn (coagulative necrosis). The key clinical feature is the "whitish sloughing" appearance where the epithelium peels away.  Why not: Candidiasis can wipe off but isn't caused by a pill. Linea Alba is a frictional line. Lichen Planus is an autoimmune condition (Wickham striae).	Aspirin Burn, Chemical Injury, Diagnosis	
Q_20	CASE_04	MCQ	Oral Pathology	Which of the following substances can cause a similar chemical burn to the one seen in this patient?		Sodium Lauryl Sulfate	Silver Nitrate	Hydrogen Peroxide	Phenol	Option_D	Why: The video lists Phenol, Silver Nitrate, and Hydrogen Peroxide as other agents that cause chemical burns similar to aspirin.  Note: While all options are listed in the video as chemical irritants, Phenol is a classic cauterizing agent often tested as a cause of iatrogenic burns. (Any of B, C, or D could technically be correct based on the list, but Phenol is a strong distractor). Correction based on strict video list: The video explicitly lists "Aspirin, Hydrogen Peroxide, Silver Nitrate, and Phenol" as causes. I will select Phenol as the correct option for this specific question structure.	Chemical Burn, Etiology, Phenol	
Q_21	CASE_04	MCQ	Oral Pathology	The clinical notes describe the lesion as an "ulcer" after the white tissue sloughs. How does an ulcer differ from an erosion?		Ulcers are painless; erosions are painful.	Ulcers extend into the submucosa; erosions are limited to the mucosal epithelium.	Ulcers are viral; erosions are bacterial.	Ulcers blanch; erosions do not.	Option_B	Why: The transcript defines an erosion as an "incomplete break" (mucosal layer only), while an ulcer is a "complete break" extending through the epithelium into the submucosa.  Why not: Both can be painful (ulcers typically more so). Etiology varies for both.	Ulcer, Erosion, Definitions	
Q_22		RAPID_FIRE	Oral Pathology	Linea Alba is a form of focal hyperkeratosis caused by chronic friction at the level of the occlusal plane.		TRUE	FALSE			Option_A	Why: True. It literally translates to "white line" and acts like a callus (hyperkeratosis) where the teeth meet against the cheek.  Why not: N/A	Linea Alba, Hyperkeratosis, Friction	
Q_23		RAPID_FIRE	Oral Pathology	A hematoma is a submucosal hemorrhage that is smaller than a petechia.		TRUE	FALSE			Option_B	Why: False. The video ranks hemorrhages by size: Petechiae (1mm) < Purpura < Ecchymosis (>1cm) < Hematoma (large mass of blood). Hematomas are the largest.   Why not: N/A	Hematoma, Hemorrhage, Definitions	
Q_24		RAPID_FIRE	Oral Pathology	Submucosal hemorrhages (like petechiae and ecchymosis) will blanch when pressure is applied (diascopy test).		TRUE	FALSE			Option_B	Why: False. The video emphasizes that "extravascular lesions do not blanch." Blood has escaped the vessels (like a broken water balloon), so pressure cannot move it away. Vascular lesions (like hemangiomas) do blanch.  Why not: N/A	Blanching, Diascopy, Hemorrhage	
Q_25	CASE_05	MCQ	Oral Pathology	The clinical presentation of facial paralysis, vertigo, and deafness is characteristic of which syndrome?		Melkersson-Rosenthal Syndrome	Ramsay Hunt Syndrome	Behcet's Syndrome	Stevens-Johnson Syndrome	Option_B	Why: Ramsay Hunt Syndrome is caused by the reactivation of Herpes Zoster in the geniculate ganglion. It affects cranial nerves VII (facial paralysis) and VIII (vertigo, deafness).  Why not: Melkersson-Rosenthal involves fissured tongue/lip swelling. Behcet's involves aphthous ulcers/uveitis. SJS is a severe drug reaction.	Ramsay Hunt Syndrome, Herpes Zoster, Cranial Nerves	
Q_26	CASE_05	MCQ	Microbiology	The underlying pathogen responsible for the syndrome described in this case is the same virus that causes:		Chickenpox (Varicella)	Hand-Foot-and-Mouth Disease	Herpangina	Oral Hairy Leukoplakia	Option_A	Why: The virus is Varicella-Zoster Virus (VZV). The primary infection is Chickenpox (Varicella), and the recurrent infection is Shingles (Zoster). Ramsay Hunt is a manifestation of Zoster.  Why not: Hand-Foot-and-Mouth and Herpangina are caused by Coxsackie virus. Oral Hairy Leukoplakia is caused by Epstein-Barr Virus (EBV).	Varicella-Zoster, Virus, Etiology	
Q_27	CASE_05	MCQ	Oral Pathology	If this patient had presented with "Oral Hairy Leukoplakia" instead, which viral pathogen would be the causative agent?		Human Papilloma Virus (HPV)	Herpes Simplex Virus (HSV)	Epstein-Barr Virus (EBV)	Coxsackie Virus	Option_C	Why: Oral Hairy Leukoplakia (white patch on lateral tongue that doesn't wipe off) is caused by the Epstein-Barr Virus (EBV) and is an opportunistic infection often associated with HIV.  Why not: HPV causes papillomas/warts. HSV causes herpes labialis/stomatitis. Coxsackie causes herpangina.	Epstein-Barr Virus, Oral Hairy Leukoplakia, HIV	
Q_28		RAPID_FIRE	Oral Pathology	Recurrent Intraoral Herpes occurs exclusively on keratinized tissue (attached gingiva and hard palate).		TRUE	FALSE			Option_A	Why: True. This is a key distinction. Primary herpes is pan-oral, but recurrent intraoral herpes is limited to keratinized tissues (bound down tissue). Recurrent aphthous ulcers occur on loose, non-keratinized tissue.  Why not: N/A	Herpes Simplex, Recurrent, Keratinized Mucosa	
Q_29		RAPID_FIRE	Oral Pathology	Actinomycosis is a fungal infection characterized by sulfur granules in the purulent exudate.		TRUE	FALSE			Option_B	Why: False. Actinomycosis is a bacterial infection (Actinomyces israelii), despite the misleading name ending in "-mycosis." It does, however, present with sulfur granules.  Why not: N/A	Actinomycosis, Bacteria, Sulfur Granules	
Q_30		RAPID_FIRE	Oral Pathology	Strawberry Tongue, seen in Scarlet Fever, is caused by the inflammation of filiform papillae.		TRUE	FALSE			Option_B	Why: False. Strawberry Tongue is caused by the inflammation of fungiform papillae (red dots on white tongue). Hairy tongue involves the filiform papillae.  Why not: N/A	Scarlet Fever, Strawberry Tongue, Papillae	
Q_31	CASE_06	MCQ	Oral Pathology	Based on the clinical presentation of mucous patches and palmar/plantar rash, which stage of Syphilis is this patient exhibiting?		Primary Syphilis	Secondary Syphilis	Tertiary Syphilis	Congenital Syphilis	Option_B	Why: Secondary Syphilis is characterized by oral mucous patches, condyloma latum, and a maculopapular rash. Primary syphilis presents with a chancre. Tertiary presents with Gummas.   Why not: The chancre (primary) heals before secondary symptoms appear. Gummas are late-stage destructive lesions.	Syphilis, Infectious Disease, Stages	
Q_32	CASE_06	MCQ	Microbiology	What is the causative organism for the infection described in this case?		Neisseria gonorrhoeae	Mycobacterium tuberculosis	Treponema pallidum	Actinomyces israelii	Option_C	Why: Syphilis is caused by the spirochete Treponema pallidum.  Why not: Neisseria causes Gonorrhea. Mycobacterium causes TB. Actinomyces causes Actinomycosis.	Treponema pallidum, Microbiology, Syphilis	
Q_33	CASE_06	MCQ	Oral Pathology	If this infection were transmitted congenitally, which of the following is part of "Hutchinson's Triad"?		Cleft Palate	Mulberry Molars	Geographic Tongue	Turner's Tooth	Option_B	Why: Hutchinson's Triad for Congenital Syphilis consists of: 1) Hutchinson's Incisors (notched) & Mulberry Molars, 2) Ocular Interstitial Keratitis, and 3) CN VIII Deafness.  Why not: Turner's tooth is caused by local trauma/infection to a primary tooth. Cleft palate is developmental.	Hutchinson's Triad, Congenital Syphilis, Dental Anomalies	
Q_34		RAPID_FIRE	Oral Pathology	Koplik's Spots are small white spots on the buccal mucosa that precede the skin rash in Measles (Rubeola).		TRUE	FALSE			Option_A	Why: True. Koplik's spots are pathognomonic for Measles (Rubeola) and are often described as "inflamed Stensen's duct openings" or salt grains on a red background.  Why not: N/A	Measles, Koplik's Spots, Rubeola	
Q_35		RAPID_FIRE	Oral Pathology	Condyloma Acuminatum is a genital wart caused by HPV strains 6 and 11 that can also present orally.		TRUE	FALSE			Option_A	Why: True. Condyloma Acuminatum is caused by low-risk HPV types 6 and 11. It presents as a cauliflower-like lesion.  Why not: N/A	HPV, Condyloma Acuminatum, Virology	
Q_36		RAPID_FIRE	Oral Pathology	Herpangina is caused by the Coxsackie virus and typically presents with ulcers on the anterior gingiva and hard palate.		TRUE	FALSE			Option_B	Why: False. Herpangina (Coxsackie virus) presents with vesicles/ulcers in the posterior oral cavity (soft palate, throat, tonsils). Herpes Simplex affects the anterior/keratinized tissue.  Why not: N/A	Herpangina, Coxsackie Virus, Differential Diagnosis	
question_id	scenario_id	type	category	question_text		option_A	option_B	option_C	option_D	correct_option	explanation	tags	
Q_37	CASE_07	CASE	Pharmacology	The dentist administers 2% Lidocaine w/ 1:100,000 epinephrine. What is the maximum recommended dose (MRD) in mg for this 22 kg patient (using the conservative 4.4 mg/kg rule)?		88 mg	96.8 mg	120 mg	300 mg	B	Why: Calculation: 22 kg multiplied by 4.4 mg/kg equals 96.8 mg. The weight-based limit applies before the absolute maximum of 300 mg. Why not: 88 mg is too low. 120 mg exceeds the weight limit. 300 mg is the absolute adult maximum.	Calculation,Pediatric,Lidocaine	
Q_38	CASE_07	CASE	Pharmacology	Approximately how many cartridges of 2% Lidocaine (1.8 mL) can be safely administered to this patient?		1.5 cartridges	2.7 cartridges	3.5 cartridges	4.4 cartridges	B	Why: 2% Lidocaine contains 36 mg per 1.8mL cartridge. 96.8 mg (MRD) divided by 36 mg/cartridge equals approx 2.68 cartridges. Round down to 2.6 or 2.7 for safety. Why not: 1.5 is too conservative. 3.5 exceeds the limit (3.5 * 36 = 126 mg).	Calculation,Dosage	
Q_39	CASE_07	CASE	Pharmacology	Post-injection the patient exhibits confusion, tremors, and shivering. These are clinical signs of which phase of local anesthetic toxicity?		Allergic reaction	Initial CNS excitation	CNS depression phase	Cardiovascular collapse	B	Why: LA toxicity is biphasic. Phase 1 is CNS Excitation (tremors, talkativeness, agitation). Why not: Phase 2 is CNS Depression (seizures, respiratory arrest). Allergic reactions usually present with cutaneous or respiratory signs.	Toxicity,Symptoms	
Q_40	CASE_08	CASE	Pharmacology	Does this patient require antibiotic prophylaxis for her Total Hip Replacement according to current ADA/AAOS guidelines?		Yes for life	Yes for the first 2 years only	No unless she has a history of prosthetic joint infection	Yes because she has diabetes	C	Why: Current guidelines generally do NOT recommend prophylactic antibiotics for prosthetic joint implants unless there is a specific history of complications or infection with the joint. Why not: "For life" and "first 2 years" are outdated guidelines. Diabetes is a risk factor but does not mandate prophylaxis alone.	Guidelines,Prophylaxis	
Q_41	CASE_08	CASE	Pharmacology	Given the acute abscess and systemic risk factors the dentist prescribes an antibiotic. Considering her Penicillin allergy (hives), which is the most appropriate first-line choice?		Amoxicillin 500mg	Cephalexin 500mg	Clindamycin 300mg	Azithromycin 500mg	B	Why: For a non-anaphylactic penicillin allergy (hives/rash), a first-generation cephalosporin like Cephalexin is often the preferred alternative due to efficacy and low cross-reactivity. Why not: Clindamycin is no longer first-line due to C. diff risks. Amoxicillin is contraindicated due to allergy.	Antibiotics,Allergy	
Q_42	CASE_08	CASE	Pharmacology	If the patient had a history of Type I hypersensitivity (Anaphylaxis) to Penicillin, which antibiotic would be the safest choice?		Cephalexin	Ampicillin	Azithromycin	Augmentin	C	Why: In cases of anaphylaxis, all beta-lactams (including cephalosporins) should be avoided due to potential cross-reactivity. Macrolides like Azithromycin are indicated. Why not: Cephalexin, Ampicillin, and Augmentin are beta-lactams.	Allergy,Anaphylaxis	
Q_43	CASE_09	CASE	Pharmacology	The "electric shock" sensation described by the patient during the block indicates the needle likely contacted which structure?		Lingual Nerve	Inferior Alveolar Nerve sheath	Mylohyoid Nerve	Long Buccal Nerve	B	Why: A sudden "shock" sensation implies direct physical contact with the nerve trunk or sheath. In an IANB, this is most often the IAN or the Lingual nerve. Why not: It does not indicate the Mylohyoid or Long Buccal nerves, which are anatomically distinct from the injection site.	Complications,Technique	
Q_44	CASE_09	CASE	Pharmacology	To maximize success of the IANB, the needle target is the area superior to the mandibular foramen, bordering which bony landmark laterally?		Pterygomandibular raphe	Internal oblique ridge	Lingula	Coronoid notch	C	Why: The Lingula is the small bony projection covering the mandibular foramen. The solution is deposited just superior to it. Why not: Pterygomandibular raphe is soft tissue. Coronoid notch is used to determine height but is not the target itself.	Anatomy,Landmarks	
Q_45	CASE_09	CASE	Pharmacology	Which distinct soft tissue landmark is used to determine the height of injection for the IANB?		Pterygomandibular raphe	Coronoid notch	Intertragic notch	Parotid papilla	A	Why: The Pterygomandibular raphe is the visual soft tissue guide for the medial/lateral boundary. Why not: The Coronoid Notch is the hard tissue landmark for height, but the question asks for the soft tissue landmark.	Landmarks,Technique	
Q_46		RAPID_FIRE	Pharmacology	Lidocaine is metabolized primarily in the blood plasma by pseudocholinesterase.		TRUE	FALSE			B	Why: False. Lidocaine is an Amide and is metabolized in the LIVER. Esters are metabolized in the PLASMA. Why not: N/A	Metabolism,Amides	Metabolism,Amides
Q_47		RAPID_FIRE	Pharmacology	The maximum dose of Epinephrine for a cardiac patient is 0.04 mg.		TRUE	FALSE			A	Why: True. This equates to roughly 2 cartridges of 1:100,000 epinephrine (0.018mg per cart). Why not: N/A	Dosage,Epinephrine	Dosage,Epinephrine
Q_48		RAPID_FIRE	Pharmacology	Clindamycin is bacteriocidal.		TRUE	FALSE			B	Why: False. Clindamycin is bacteriostatic, meaning it inhibits protein synthesis rather than killing bacteria directly. Why not: N/A	Antibiotics,Mechanism	Antibiotics,Mechanism
Q_49		RAPID_FIRE	Pharmacology	The Gow-Gates technique aims to deposit anesthetic at the neck of the condyle.		TRUE	FALSE			A	Why: True. This is a higher block than the traditional IANB and targets the condylar neck to anesthetize the entire V3 division. Why not: N/A	Technique,Anesthesia	Technique,Anesthesia
Q_50		RAPID_FIRE	Pharmacology	Beta-blockers can increase the risk of hypertensive crisis if given with high doses of epinephrine.		TRUE	FALSE			A	Why: True. Non-selective beta-blockers prevent vasodilation (beta-2), leaving alpha-1 vasoconstriction unopposed, causing a spike in BP. Why not: N/A	Interactions,Epinephrine	Interactions,Epinephrine
Q_51		RAPID_FIRE	Pharmacology	Benzocaine is an amide local anesthetic.		TRUE	FALSE			B	Why: False. Benzocaine is an Ester (one "i" in the generic name). Why not: N/A	Classification,Esters	Classification,Esters
Q_52		RAPID_FIRE	Pharmacology	The long buccal nerve block is necessary for extraction of mandibular premolars.		TRUE	FALSE			B	Why: False. The Long Buccal nerve innervates the buccal soft tissue of the MOLARS only. Why not: N/A	Anatomy,Nerves	Anatomy,Nerves
Q_53		RAPID_FIRE	Pharmacology	Amoxicillin has a broader spectrum of activity than Penicillin VK.		TRUE	FALSE			A	Why: True. Amoxicillin (extended spectrum) covers more gram-negative bacteria compared to Penicillin VK. Why not: N/A	Antibiotics,Spectrum	Antibiotics,Spectrum
Q_54		RAPID_FIRE	Pharmacology	Methemoglobinemia is a potential side effect associated with Prilocaine.		TRUE	FALSE			A	Why: True. Prilocaine metabolites (o-toluidine) can oxidize hemoglobin to methemoglobin, reducing oxygen transport. Why not: N/A	Side Effects,Prilocaine	Side Effects,Prilocaine
Q_55		RAPID_FIRE	Pharmacology	In an infected area (low pH), the onset of local anesthesia is faster.		TRUE	FALSE			B	Why: False. Low pH creates more IONIZED molecules (cations) which cannot cross the nerve membrane, causing SLOWER onset and reduced efficacy. Why not: N/A	Mechanism,pH	Mechanism,pH
Q_56	CASE_10	CASE	Pharmacology	The dentist plans to use 2% Lidocaine with 1:100,000 epinephrine. What is the maximum recommended number of carpules (1.8 mL) for this patient based on the conservative limit of 4.4 mg/kg?		1.7 carpules	2.4 carpules	3.2 carpules	4.4 carpules	B	Why: 2% Lidocaine contains 36mg per 1.8mL carpule. 20kg x 4.4mg/kg = 88mg maximum total dose. 88mg / 36mg/carpule = 2.44 carpules. Why not: 1.7 is too low. 3.2 exceeds the maximum dose (115mg).	Lidocaine,Calculation,Pediatric	
Q_57	CASE_10	CASE	Pharmacology	During the injection, the patient suddenly becomes talkative, agitated, and complains of ringing in the ears. These are early signs of:		Anaphylactic shock	Epinephrine overdose	Local anesthetic toxicity (CNS excitation)	Asthma attack	C	Why: Lidocaine toxicity follows a biphasic pattern: Phase 1 is CNS excitation (tinnitus, agitation, confusion). Why not: Anaphylaxis involves wheezing/hives. Asthma attack involves respiratory distress without the "talkative/agitated" CNS signs.	Toxicity,CNS,Lidocaine	
Q_58	CASE_10	CASE	Pharmacology	If the toxicity progresses to tonic-clonic seizures, which pharmacological agent is indicated for immediate management?		Flumazenil	Naloxone	Diazepam (Valium)	Diphenhydramine	C	Why: Benzodiazepines like Diazepam or Midazolam are the first-line treatment for local anesthetic-induced seizures to suppress CNS excitability. Why not: Flumazenil reverses benzos. Naloxone reverses opioids. Diphenhydramine is for allergies.	Emergency,Seizures,Benzodiazepines	
Q_59	CASE_11	CASE	Pharmacology	According to AHA guidelines, which antibiotic regimen is the most appropriate prophylaxis for this patient given her medical history and allergy?		Amoxicillin 2g PO	Cephalexin 2g PO	Clindamycin 600mg PO	Azithromycin 500mg PO	D	Why: The patient has a history of Anaphylaxis to Penicillin. Azithromycin 500mg or Clarithromycin 500mg are preferred alternatives. Why not: Cephalexin (Cephalosporin) carries a risk of cross-reactivity in anaphylactic patients. Clindamycin is no longer the first-line alternative due to C. diff risks.	AHA Guidelines,Antibiotics,Prophylaxis	
Q_60	CASE_11	CASE	Pharmacology	If Clindamycin were prescribed, what is its primary mechanism of action?		Inhibits cell wall synthesis	Inhibits 30S ribosomal subunit	Inhibits 50S ribosomal subunit	Inhibits DNA gyrase	C	Why: Clindamycin (lincosamide) and Macrolides (Azithromycin) inhibit bacterial protein synthesis by binding to the 50S ribosomal subunit. Why not: Tetracyclines inhibit 30S. Penicillins inhibit cell wall synthesis.	Mechanism of Action,Clindamycin	
Q_61	CASE_11	CASE	Pharmacology	The patient mentions she gets severe diarrhea when taking "strong antibiotics." This warns of a potential risk for which condition associated with antibiotic overuse?		Stevens-Johnson Syndrome	Pseudomembranous Colitis	Angioedema	Red Man Syndrome	B	Why: Pseudomembranous colitis is caused by Clostridioides difficile (C. diff) overgrowth, a known complication of broad-spectrum antibiotics like Clindamycin. Why not: SJS is a dermatological reaction. Red Man syndrome is associated with rapid Vancomycin infusion.	Side Effects,Pathology	
Q_62	CASE_12	CASE	Pharmacology	The patient's facial drooping suggests the needle was likely advanced too far posteriorly into which anatomical structure?		Medial Pterygoid muscle	Parotid Gland	Masseter muscle	Submandibular Gland	B	Why: Transient facial paralysis occurs if the needle penetrates the parotid gland capsule and anesthetizes the Facial Nerve (CN VII), which runs through the gland. Why not: Injecting the Medial Pterygoid causes trismus, not facial paralysis.	Anatomy,Complications,IANB	
Q_63	CASE_12	CASE	Pharmacology	To avoid this complication in the future, the needle tip should contact bone before depositing solution. Which bony landmark prevents the needle from entering the parotid gland during an IAN block?		Coronoid notch	Lingula	Internal oblique ridge	Mandibular ramus (medial aspect)	D	Why: Contacting the medial aspect of the ramus ensures the needle is not too deep (posterior). Why not: The Lingula is the target height, but the Ramus provides the depth stop to prevent entering the gland.	Landmarks,Technique	
Q_64	CASE_12	CASE	Pharmacology	Which nerve was inadvertently anesthetized to cause the patient's inability to close their eyelid?		Buccal branch of CN V3	Temporal branch of CN VII	Zygomatic branch of CN VII	Auriculotemporal nerve	C	Why: The Zygomatic and Temporal branches of the Facial Nerve (CN VII) supply the Orbicularis Oculi muscle, responsible for closing the eyelid. Why not: Buccal branch of V3 is sensory. Auriculotemporal is sensory.	Cranial Nerves,Anatomy	
Q_65		RAPID_FIRE	Pharmacology	Lidocaine is classified as an ester local anesthetic.		TRUE	FALSE			B	Why: False. Lidocaine is an Amide. Tip: Amides have two 'i's in their generic name (Lidocaine, Articaine); Esters have one (Procaine, Benzocaine). Why not: N/A	Classification	Classification
Q_66		RAPID_FIRE	Pharmacology	The cardiac dose of epinephrine (0.04 mg) is equivalent to approximately 2 carpules of 1:100,000 epinephrine.		TRUE	FALSE			A	Why: True. 1:100,000 epi = 0.018 mg/carpule. 2 carpules = 0.036 mg, which is just under the 0.04 mg limit. Why not: N/A	Calculation,Epinephrine	Calculation,Epinephrine
